enrollment_id,employee_id,expected_exception_type,expected_severity,expected_business_impact
ENR000009004,EE0002445,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009012,EE0002448,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009021,EE0002450,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009043,EE0002455,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009053,EE0002457,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000009074,EE0002465,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009079,EE0002466,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009081,EE0002466,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000009096,EE0002470,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000009134,EE0002479,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000009137,EE0002479,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000009143,EE0002480,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009144,EE0002481,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000009188,EE0002493,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009203,EE0002496,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009213,EE0002499,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009258,EE0002512,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009324,EE0002526,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009333,EE0002528,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009335,EE0002529,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009395,EE0002549,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009402,EE0002550,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009404,EE0002552,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009421,EE0002556,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000009433,EE0002560,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000009447,EE0002565,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009452,EE0002567,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000009505,EE0002580,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000009508,EE0002583,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000009512,EE0002584,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000009536,EE0002591,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000009565,EE0002599,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000009588,EE0002605,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000009590,EE0002606,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000009607,EE0002610,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000009654,EE0002621,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000009658,EE0002622,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000009735,EE0002645,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000009737,EE0002645,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009739,EE0002646,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009795,EE0002665,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009802,EE0002667,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000009835,EE0002677,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009856,EE0002684,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000009894,EE0002692,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009900,EE0002694,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009914,EE0002698,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000009952,EE0002706,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000009957,EE0002707,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010010,EE0002721,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010013,EE0002723,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000010018,EE0002724,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010019,EE0002724,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010028,EE0002726,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010051,EE0002732,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010058,EE0002733,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010061,EE0002734,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010080,EE0002740,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000010084,EE0002742,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010121,EE0002752,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010137,EE0002755,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010186,EE0002770,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010212,EE0002776,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010219,EE0002780,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010234,EE0002785,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010253,EE0002790,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010281,EE0002797,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010285,EE0002798,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000010307,EE0002806,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000010317,EE0002808,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010352,EE0002821,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010362,EE0002823,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010364,EE0002824,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010368,EE0002824,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000010376,EE0002827,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010379,EE0002829,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010398,EE0002833,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010401,EE0002834,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010405,EE0002835,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010409,EE0002836,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000010415,EE0002837,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010416,EE0002837,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010435,EE0002843,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000010470,EE0002850,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010517,EE0002866,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010540,EE0002872,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010594,EE0002890,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010599,EE0002891,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000010615,EE0002898,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010624,EE0002900,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010637,EE0002902,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000010663,EE0002909,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010754,EE0002933,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010760,EE0002934,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010775,EE0002940,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010780,EE0002941,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010782,EE0002942,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000010793,EE0002944,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010824,EE0002952,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010860,EE0002962,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010893,EE0002969,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010901,EE0002971,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010906,EE0002972,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010911,EE0002973,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010935,EE0002981,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010944,EE0002983,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000010946,EE0002984,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000010973,EE0002990,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000011028,EE0003005,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000011053,EE0003010,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000011060,EE0003012,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000011077,EE0003015,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000011081,EE0003016,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000011117,EE0003027,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000011142,EE0003034,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000011183,EE0003046,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000011193,EE0003049,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000011218,EE0003057,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000011225,EE0003058,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000011228,EE0003059,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000011259,EE0003066,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000011263,EE0003067,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000011290,EE0003073,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000011294,EE0003074,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000011319,EE0003082,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000011351,EE0003091,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000011368,EE0003096,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000011374,EE0003099,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000011436,EE0003117,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000011445,EE0003120,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000011453,EE0003122,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000011521,EE0003139,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000011534,EE0003142,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000011591,EE0003161,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000011631,EE0003170,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000011640,EE0003172,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000011650,EE0003174,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000011674,EE0003181,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000011691,EE0003184,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000011707,EE0003191,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000011733,EE0003198,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000011734,EE0003198,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000011741,EE0003201,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000011748,EE0003204,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000011749,EE0003207,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000011789,EE0003216,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000011808,EE0003223,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000011849,EE0003236,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000011905,EE0003254,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000011907,EE0003256,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000011916,EE0003258,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000011923,EE0003259,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000011925,EE0003259,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000011926,EE0003260,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000011944,EE0003264,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000011972,EE0003272,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000011977,EE0003273,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012021,EE0003286,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012075,EE0003301,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012086,EE0003304,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000012111,EE0003310,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000012137,EE0003318,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012177,EE0003327,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000012215,EE0003338,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000012230,EE0003342,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000012296,EE0003358,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012334,EE0003367,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012336,EE0003368,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012346,EE0003370,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012359,EE0003373,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012364,EE0003374,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000012373,EE0003376,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000012408,EE0003385,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000012409,EE0003385,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012413,EE0003386,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000012422,EE0003388,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012428,EE0003390,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012524,EE0003424,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012570,EE0003436,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012604,EE0003445,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000012614,EE0003447,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000012618,EE0003447,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000012628,EE0003450,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000012687,EE0003466,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000012712,EE0003471,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012738,EE0003480,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000012748,EE0003482,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012755,EE0003484,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000012772,EE0003489,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000012777,EE0003490,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012810,EE0003498,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000012815,EE0003499,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012845,EE0003506,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012848,EE0003507,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012894,EE0003518,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012900,EE0003519,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000012925,EE0003525,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012935,EE0003528,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000012954,EE0003533,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000012971,EE0003537,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000013027,EE0003552,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000013033,EE0003555,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000013046,EE0003558,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000013116,EE0003575,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000013202,EE0003603,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000013206,EE0003605,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000013210,EE0003606,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000013218,EE0003608,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000013223,EE0003609,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000013241,EE0003616,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000013282,EE0003626,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000013293,EE0003629,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000013297,EE0003629,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000013333,EE0003640,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000013339,EE0003641,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000013352,EE0003645,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000013357,EE0003646,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000013392,EE0003656,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000013422,EE0003665,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000013423,EE0003665,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000013428,EE0003667,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000013458,EE0003675,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000013459,EE0003677,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000013491,EE0003686,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000013493,EE0003686,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000013525,EE0003694,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000013572,EE0003706,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000013628,EE0003721,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000013635,EE0003722,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000013658,EE0003729,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000013747,EE0003754,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000013753,EE0003755,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000013765,EE0003758,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000013781,EE0003761,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000013782,EE0003762,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000013785,EE0003762,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000013799,EE0003765,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000013844,EE0003777,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000013875,EE0003787,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000013886,EE0003790,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000013912,EE0003799,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000013954,EE0003812,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000013978,EE0003819,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000013990,EE0003822,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000014110,EE0003852,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000014113,EE0003853,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000014125,EE0003855,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000014170,EE0003868,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000014208,EE0003878,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000014227,EE0003883,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000014236,EE0003885,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000014242,EE0003886,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000014281,EE0003897,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000014301,EE0003902,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000014433,EE0003936,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000014444,EE0003939,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000014459,EE0003943,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000014469,EE0003946,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000014479,EE0003949,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000014499,EE0003956,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000014523,EE0003962,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000014525,EE0003964,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000014540,EE0003967,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000014566,EE0003978,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000014578,EE0003981,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000014585,EE0003983,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000014600,EE0003987,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000014606,EE0003989,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000014607,EE0003989,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000014610,EE0003990,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000014633,EE0003995,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000014690,EE0004011,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000014741,EE0004024,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000014747,EE0004025,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000014750,EE0004026,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000014766,EE0004031,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000014768,EE0004031,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000014773,EE0004032,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000014781,EE0004034,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000014786,EE0004036,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000014836,EE0004048,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000014886,EE0004063,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000014908,EE0004070,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000014954,EE0004080,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000015024,EE0004099,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000015024,EE0004099,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000015057,EE0004108,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000015076,EE0004112,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000015093,EE0004119,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000015096,EE0004121,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000015097,EE0004121,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000015118,EE0004128,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000015128,EE0004132,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000015215,EE0004155,MISSING_ELIGIBILITY,High,Requested coverage was not established.
